#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
HW228/HW228	NODE_13_length_49749_cov_467.026542	7179	8657	-	kpsD	184-1653/1659	.=======/======	13/37	87.76	72.94	vfdb	NP_282585	(kpsD) capsule polysaccharide export system periplasmic protein [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW228/HW228	NODE_13_length_49749_cov_467.026542	9947	10606	-	kpsT	1-660/663	========/======	4/6	99.10	76.92	vfdb	NP_282587	(kpsT) capsule polysaccharide export ATP-binding protein [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW228/HW228	NODE_13_length_49749_cov_467.026542	10624	11379	-	kpsM	1-756/783	========/======	11/24	95.02	70.96	vfdb	NP_282588	(kpsM) capsule polysaccharide export system inner membrane protein [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW228/HW228	NODE_14_length_45445_cov_482.381406	23433	24292	-	kpsF	14-882/948	========/======	13/25	89.87	69.10	vfdb	NP_282584	(kpsF) D-arabinose 5-phosphate isomerase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW228/HW228	NODE_14_length_45445_cov_482.381406	34676	35254	-	cdtB	1-570/798	========/===...	9/23	70.55	67.75	vfdb	NP_281291	(cdtB) cytolethal distending toxin B [CDT (VF0115)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW228/HW228	NODE_15_length_41642_cov_499.820040	8139	8551	-	gmhA	109-521/561	..======/======	9/18	72.01	69.19	vfdb	NP_282296	(gmhA) phosphoheptose isomerase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW228/HW228	NODE_16_length_38506_cov_434.615953	133	621	+	rfbC	1-486/546	========/=====.	4/9	88.46	72.76	vfdb	NP_282571	(rfbC) dTDP-4-dehydrorhamnose 35-epimerase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW228/HW228	NODE_16_length_38506_cov_434.615953	5087	6076	+	hddA	37-1020/1020	========/======	3/8	96.37	72.86	vfdb	NP_282566	(hddA) D-glycero-D-manno-heptose 7-phosphate kinase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW228/HW228	NODE_16_length_38506_cov_434.615953	6064	6668	+	gmhA2	1-605/606	========/======	5/8	99.17	74.55	vfdb	NP_282565	(gmhA2) phosphoheptose isomerase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW228/HW228	NODE_16_length_38506_cov_434.615953	6658	7282	+	hddC	2-626/666	========/======	3/14	92.79	73.73	vfdb	NP_282564	(hddC) D-glycero-D-manno-heptose 1-phosphate guanosyltransferase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW228/HW228	NODE_16_length_38506_cov_434.615953	8101	10094	+	kpsC	26-2043/2070	========/======	24/66	95.31	69.00	vfdb	NP_282555	(kpsC) capsule polysaccharide modification protein [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
