#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
HW196/HW196	NODE_13_length_59756_cov_574.300347	28019	28803	+	flgG	1-788/792	========/======	14/21	97.98	68.26	vfdb	NP_281870	(flgG) flagellar basal-body rod protein FlgG [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW196/HW196	NODE_15_length_40693_cov_599.505980	33092	33504	+	gmhA	109-521/561	..======/======	9/18	72.01	69.19	vfdb	NP_282296	(gmhA) phosphoheptose isomerase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW196/HW196	NODE_17_length_28480_cov_592.902832	19756	20777	-	fliM	1-1019/1065	========/======	13/35	94.18	70.91	vfdb	NP_207821	(fliM) flagellar motor switch protein FliM [Pse5Ac7Ac (AI150)] [Helicobacter pylori 26695]	
HW196/HW196	NODE_1_length_151703_cov_474.653006	47157	48056	+	cheV	34-936/957	========/======	15/27	92.79	67.98	vfdb	YP_002343726	(cheV) chemotaxis protein [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW196/HW196	NODE_1_length_151703_cov_474.653006	61287	62185	-	cheV1	23-921/966	========/======	10/18	92.13	71.48	vfdb	NP_206821	(cheV1) chemotaxis coupling protein CheV1 [Pse5Ac7Ac (AI150)] [Helicobacter pylori 26695]	
HW196/HW196	NODE_1_length_151703_cov_474.653006	94642	94978	+	fliS	16-352/381	========/=====.	2/2	88.19	71.30	vfdb	NP_207546	(fliS) flagellar protein FliS [Pse5Ac7Ac (AI150)] [Helicobacter pylori 26695]	
HW196/HW196	NODE_1_length_151703_cov_474.653006	111067	112005	-	flgR	1-942/1302	========/===...	9/23	71.35	68.38	vfdb	NP_282174	(flgR) sigma-54 associated transcriptional activator [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW196/HW196	NODE_2_length_137968_cov_576.970104	38215	39028	-	pseB	1-814/1005	========/====..	8/14	80.30	71.01	vfdb	NP_282439	(pseB) UDP-GlcNAc-specific C46 dehydratase/C5 epimerase [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW196/HW196	NODE_2_length_137968_cov_576.970104	63401	64925	+	Cj1135	14-1535/1548	========/======	21/45	96.96	65.78	vfdb	NP_282283	(Cj1135) glucosyltransferase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW196/HW196	NODE_2_length_137968_cov_576.970104	101661	101867	-	fliQ	24-230/270	.=======/====..	4/4	75.93	74.64	vfdb	NP_282802	(fliQ) flagellar biosynthesis protein FliQ [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW196/HW196	NODE_2_length_137968_cov_576.970104	112903	113263	+	cheY	2-362/393	==============.	0/0	91.86	78.12	vfdb	YP_002344511	(cheY) chemotaxis regulatory protein [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW196/HW196	NODE_3_length_136011_cov_498.075392	123336	124333	+	fliG	34-1031/1032	========/======	11/18	95.83	68.42	vfdb	NP_207150	(fliG) flagellar motor switch protein G [Pse5Ac7Ac (AI150)] [Helicobacter pylori 26695]	
HW196/HW196	NODE_5_length_114472_cov_529.256020	111048	112616	-	htpB	76-1653/1653	========/======	22/43	93.89	64.95	vfdb	YP_094724	(htpB) Hsp60 60K heat shock protein HtpB [Hsp60 (VF0159)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]	
HW196/HW196	NODE_6_length_111736_cov_569.514501	34181	34650	-	flgC	1-455/486	========/======	5/17	93.42	70.06	vfdb	NP_208349	(flgC) flagellar basal-body rod protein FlgC [Flagella (CVF223)] [Helicobacter pylori 26695]	
HW196/HW196	NODE_7_length_92358_cov_514.744645	28413	30406	-	kpsC	26-2043/2070	========/======	24/66	95.31	69.00	vfdb	NP_282555	(kpsC) capsule polysaccharide modification protein [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW196/HW196	NODE_7_length_92358_cov_514.744645	31229	31853	-	hddC	2-626/666	========/======	3/14	92.79	73.73	vfdb	NP_282564	(hddC) D-glycero-D-manno-heptose 1-phosphate guanosyltransferase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW196/HW196	NODE_7_length_92358_cov_514.744645	31843	32447	-	gmhA2	1-605/606	========/======	5/8	99.17	74.55	vfdb	NP_282565	(gmhA2) phosphoheptose isomerase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW196/HW196	NODE_7_length_92358_cov_514.744645	32435	33424	-	hddA	37-1020/1020	========/======	3/8	96.37	72.86	vfdb	NP_282566	(hddA) D-glycero-D-manno-heptose 7-phosphate kinase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW196/HW196	NODE_7_length_92358_cov_514.744645	37888	38376	-	rfbC	1-486/546	========/=====.	4/9	88.46	72.76	vfdb	NP_282571	(rfbC) dTDP-4-dehydrorhamnose 35-epimerase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW196/HW196	NODE_7_length_92358_cov_514.744645	38483	39523	-	fcl	1-1035/1041	========/======	22/32	98.17	66.41	vfdb	NP_282569	(fcl) GDP-L-fucose synthetase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW196/HW196	NODE_7_length_92358_cov_514.744645	39596	40081	-	rfbC	1-486/546	========/=====.	4/4	88.64	74.59	vfdb	NP_282571	(rfbC) dTDP-4-dehydrorhamnose 35-epimerase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW196/HW196	NODE_7_length_92358_cov_514.744645	49788	51266	-	kpsD	184-1653/1659	.=======/======	13/37	87.76	72.94	vfdb	NP_282585	(kpsD) capsule polysaccharide export system periplasmic protein [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW196/HW196	NODE_7_length_92358_cov_514.744645	52556	53215	-	kpsT	1-660/663	========/======	4/6	99.10	76.92	vfdb	NP_282587	(kpsT) capsule polysaccharide export ATP-binding protein [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW196/HW196	NODE_7_length_92358_cov_514.744645	53233	53988	-	kpsM	1-756/783	========/======	11/24	95.02	70.96	vfdb	NP_282588	(kpsM) capsule polysaccharide export system inner membrane protein [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW196/HW196	NODE_9_length_79298_cov_552.505243	23482	23933	-	kdtB	6-446/474	========/======	7/23	91.77	68.12	vfdb	NP_208266	(kdtB) lipopolysaccharide core biosynthesis protein [LPS (VF0056)] [Helicobacter pylori 26695]	
HW196/HW196	NODE_9_length_79298_cov_552.505243	44045	44623	+	cdtB	1-570/798	========/===...	9/23	70.55	67.75	vfdb	NP_281291	(cdtB) cytolethal distending toxin B [CDT (VF0115)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW196/HW196	NODE_9_length_79298_cov_552.505243	55007	55866	+	kpsF	14-882/948	========/======	13/25	89.87	69.10	vfdb	NP_282584	(kpsF) D-arabinose 5-phosphate isomerase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
